CTYDIST,ELEMDIST,DNAME,DCOUNTY,DSUPAREA,DPYC,DPYAV,DPYTATL,DPHONE,DFAX,DELEMSN,DELEMST,DELEMSRS,DELEMSNS,DELEMSTS,DMIDSSN,DMIDSST,DMIDSSRS,DMIDSSNS,DMIDSSTS,DJRSN,DJRST,DJRSRS,DJRSNS,DJRSTS,DHIGHSN,DHIGHST,DHIGHSRS,DHIGHSNS,DHIGHSTS,DTOTSCHL,DTOTTECH,DTOTRES,DTOTNRES,DTOTSTU,PRESTITL,PRESLN,PRESFN,PRESMI,SECTITL,SECLN,SECFN,SECMI,SDLNAME,SDFNAME,SDMINIT,SDSALUAT,DIEMAIL,URL,MO HOUSE DISTRICTS,MO SENATE DISTRICTS,US CONGRESSIONAL DISTRICTS,Location 1,Location 2
90077,,Bunker R-III  (090-077),Reynolds ,G,   A,68708330.00,2.75,5736892507,5736891268,1,19,174,0,174,0,0,0,0,0,0,0,0,0,0,1,18,99,0,99,2,37,273,0,273,Mr.,Skaggs ,Richie ,,Mrs.,Patterson ,Ladonna ,K,Reeves ,Jane ,J,Ms.,JREEVES@BUNKERR3.K12.MO.US,http://www.bunkerr3.k12.mo.us,"143, 144","03 , 16 , 25 ",8,"Highway 72 & Eagle Pride Drive
Bunker 636290365
(37.457949999592984, -91.24575000016222)",P.O. Box 365
107152,,Houston R-I  (107-152),Texas ,G,   A,53983967.00,3.55,4179673024,4179674887,1,42,464,0,464,1,29,229,0,229,0,0,0,0,0,2,55,322,70,392,4,126,1015,70,1085,Dr.,Dunn ,Tom ,,Mrs.,Holland ,Jo ,,Dill ,Scott ,,Mr.,supt@houston.k12.mo.us,http://www.houston.k12.mo.us,"141, 142",33 ,8,"423 W Pine
Houston 654831147
(37.31548999956402, -91.95477999969705)",
24086,,Kearney R-I  (024-086),Clay ,B,   A,304489608.00,5.3461,8166284116,8166284074,4,126,1607,0,1607,1,45,597,0,597,1,46,593,0,593,1,63,916,0,916,7,280,3713,0,3713,Mr.,Miller ,Mike ,,Ms.,Switzer ,Carolyn ,,Nicely ,William ,,Dr.,nicelyb@mail.kearney.k12.mo.us,http://www.kearney.k12.mo.us,"008, 012, 038","12 , 17 ",6,"1002 S Jefferson
Kearney 640608520
(39.364184124748704, -94.36089314871361)",
35098,,Senath-Hornersville C-8  (035-098),Dunklin ,E,   A,46563945.00,3.4836,5737382669,5737389845,1,31,380,0,380,1,23,254,0,254,0,0,0,0,0,1,23,216,0,216,3,77,850,0,850,Mr.,Small ,Byron ,,Mr.,Johnson ,Carl ,,Wood ,Larry ,,Mr.,LWOOD@SHS.K12.MO.US,http://www.shs.k12.mo.us/se3bin/clientschool.cgi?schoolname=school217,150,25 ,8,"803 S State
Senath 638760370
(36.1274822241569, -90.16239578644108)",P.O. Box 370
54037,,Concordia R-II  (054-037),Lafayette ,F,   A,45076590.00,4.3705,6604637235,6604631326,1,28,287,0,287,0,0,0,0,0,0,0,0,0,0,1,26,253,0,253,2,54,540,0,540,Mr.,Bittiker ,Tony ,,Mr.,Deatherage ,Alan ,,Scherer ,Mary ,B,Mrs.,mbscherer@concordia.k12.mo.us,http://concordia.k12.mo.us/,"051, 053","21 , 28 ",4,"204 S.W. 11th St.
Concordia 640200879
(38.97794926612278, -93.56951561887645)",P.O. Box 879
92091,,Orchard Farm R-V  (092-091),St. Charles ,A,   A,271642412.00,4.6801,6362505000,6362505444,2,62,812,0,812,1,34,334,0,334,0,0,0,0,0,1,39,437,0,437,4,135,1583,0,1583,Mr.,Dwyer ,Elmer ,,Mr.,Semke ,Fred ,,Dozier ,Daniel ,G,Dr.,ddozier@ofsd.k12.mo.us,http://www.ofsd.k12.mo.us,"065, 066, 067, 069, 070","02 , 13 , 14 , 23 ",2,"2165 Highway V
St. Charles 633016012
(38.898063501642014, -90.44967928784013)",
51155,,Knob Noster R-VIII  (051-155),Johnson ,F,   A,54914259.00,2.75,6605633186,6605633026,2,78,857,0,857,1,33,287,0,287,0,0,0,0,0,2,49,374,0,374,5,160,1518,0,1518,Mr.,Sahlfeld ,Jesse ,,Mr.,Coleman ,Catrina ,,Tomlinson ,Jaret ,W,Dr.,SUPERINTENDENT@KNOBNOSTER.K12.MO.US,http://www.knobnoster.k12.mo.us,"051, 052, 053, 054","21 , 28 ",4,"401 E Wimer
Knob Noster 653361444
(38.76380182244691, -93.55312001155995)",
115916,,Gateway Science Acad/St. Louis  (115-916),St. Louis City ,A,,,,3149327512,3149327514,1,36,459,0,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,459,0,459,Mr.,"Goerger, Jr. ",Orville ,R,Dr., Sir , Mustafa ,,Karatas ,Cengiz ,,,atekin@gsastl.org,http://www.gsastl.org,,,,"6576 Smiley Avenue
St. Louis 631392425
(38.60695392837704, -90.30246723412306)",
16096,,Cape Girardeau 63  (016-096),Cape Girardeau ,E,   A,571076499.00,4.1567,5733351867,5733342817,6,228,2249,145,2394,0,0,0,0,0,1,62,587,1,588,1,141,1146,47,1193,8,431,3982,193,4175,Ms.,Kinder ,Stacy ,,Ms.,Poyner ,Beth ,A,Welker ,James ,,Dr.,welkerj@cape.k12.mo.us,http://www.capetigers.com,"146, 147, 148",27 ,8,"301 N Clark St.
Cape Girardeau 637015101
(37.311047902976895, -89.54774023143483)",
69107,Y,Holliday C-2  (069-107),Monroe ,I,   A,6933394.00,3.6475,6602663412,6602663029,1,12,73,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,73,0,73,Mr.,Pence ,David ,,Mrs.,Day ,Megan ,,Hall ,Carol ,A,Mrs.,hall.carol60@gmail.com,http://www.mcmsys.com/~holliday,040,10 ,9,"201 Curtright St.
Holliday 652587038
(39.49330245194124, -92.12751042502056)",P.O. Box 7038
58109,,Marceline R-V  (058-109),Linn ,I,   A,37049790.00,4.8,6603763371,6603766001,1,29,253,0,253,1,32,135,0,135,0,0,0,0,0,1,30,201,1,202,3,91,589,1,590,Mr.,Hauser ,Thomas ,J,Mrs.,Ervie ,Candi ,M,Edgar ,Gabe ,,Mr.,EDGAR@MARCELINESCHOOLS.ORG,http://www.marcelineschools.org,"006, 007, 039",18 ,6,"400 E Santa Fe Avenue
Marceline 646581455
(39.71456290769014, -92.94401763388201)",
16090,,Jackson R-II  (016-090),Cape Girardeau ,E,   A,402112964.00,3.8,5732439501,5732439503,6,163,2289,0,2289,1,54,699,0,699,1,55,715,15,730,1,107,1095,49,1144,9,379,4798,64,4862,Mrs.,Tomlin ,Terri ,,Mrs.,Stahlman ,Bonnie ,S,Anderson ,Ron ,L,Dr.,RANDERSON@JACKSON.K12.MO.US,http://www.jacksonr2schools.com,"145, 146, 147",27 ,8,"614 E Adams St.
Jackson 637552150
(37.38091623143322, -89.66144151559928)",
64072,,Marion Co. R-II  (064-072),Marion ,I,   A,14142520.00,4.32,5734395913,5734395914,1,17,149,0,149,0,0,0,0,0,0,0,0,0,0,1,17,108,0,108,2,34,257,0,257,Mr.,Spratt ,Craig ,S,Mrs.,Redd ,Judy ,M,Hoenes ,Dianna ,,Mrs.,dhoenes@marion.k12.mo.us,http://marion.k12.mo.us,"004, 005",18 ,9,"2905 Highway D
Philadelphia 634630100
(39.84214565179906, -91.7440422836435)",
108143,,Bronaugh R-VII  (108-143),Vernon ,C,   A,12035640.00,3.7228,4179223211,4179223308,1,17,153,0,153,0,0,0,0,0,0,0,0,0,0,1,17,97,0,97,2,34,250,0,250,Mr.,Baker ,Chris ,,Mrs.,Clinton ,Patty ,A,Best ,Lyle ,J,Mr.,lbest@bronaugh.k12.mo.us,http://www.bronaughschools.net,"126, 127",31 ,4,"527 E 6th St.
Bronaugh 647289505
(37.694406702146004, -94.46392559757143)",
85046,,Waynesville R-VI  (085-046),Pulaski ,G,   A,282258284.00,2.75,5737746497,5737746491,5,260,3380,0,3380,1,70,879,0,879,0,0,0,0,0,1,141,1698,0,1698,7,471,5957,0,5957,Mrs.,Laughlin ,Lori ,,Mr.,Anderson ,Andy ,,Blackburn ,Judene ,,Dr.,jblackburn@waynesville.k12.mo.us,http://waynesville.k12.mo.us/,"121, 122, 123, 142","16 , 28 , 33 ",4,"200 Fleetwood Drive
Waynesville 655832266
(37.81784568358284, -92.21657716307087)",
57001,,Silex R-I  (057-001),Lincoln ,D,   A,29128559.00,4.2059,5733845227,5733845996,1,22,190,0,190,0,0,0,0,0,0,0,0,0,0,1,20,193,0,193,2,42,383,0,383,Mr.,McDonald ,Ken ,,Mr.,Gruenloh ,Bret ,,Henderson ,Elaine ,,Mrs.,ehenderson@silex.k12.mo.us,http://www.silex.k12.mo.us,"040, 041, 042","10 , 18 ",2,"64 Highway UU
Silex 633770046
(39.12590673776515, -91.06178484064259)",P.O. Box 46
39137,,Strafford R-VI  (039-137),Greene ,C,   A,162144582.00,3.45,4177367000,4177367016,1,39,466,0,466,1,42,370,0,370,0,0,0,0,0,1,38,402,0,402,3,119,1238,0,1238,Mr.,Bodenhamer ,Steve ,,Mr.,Millsap ,Joe ,,Collins ,John ,,Mr.,JOHNC@STRAFFORDSCHOOLS.NET,http://www.straffordschools.net,"131, 137","20 , 30 , 33 ",7,"201 W McCabe
Strafford 657578841
(37.27073129640337, -93.12098947079164)",
46130,,Mountain View-Birch Tree R-III  (046-130),Howell ,G,   A,63569411.00,3.5621,4179342020,4179345404,2,61,625,0,625,1,28,281,0,281,0,0,0,0,0,1,35,380,1,381,4,124,1286,1,1287,Mr.,Vines ,Steve ,,Mrs.,Hardman ,Sally ,A,Nicholson ,Jerry ,D,Mr.,jnicholson@liberty.mvbt.k12.mo.us,http://mvbt.k12.mo.us/,"142, 143, 154","25 , 33 ",8,"1 Highway 60 East
Mountain View 655480464
(36.989180000057104, -91.73626000039854)",P.O. Box 464
76081,,Osage Co. R-I  (076-081),Osage ,D,   A,14357949.00,4.2591,5737635666,5737635686,1,17,105,0,105,0,0,0,0,0,0,0,0,0,0,1,20,91,0,91,2,37,196,0,196,Mr.,Cramer ,Steve ,,Mrs.,Hackmann ,Gayle ,,Bumgarner,Michael,J,Mr.,bumgarner@chamois.k12.mo.us,http://www.chamois.k12.mo.us,"042, 043, 049, 061","06 , 10 ",9,"614 S Poplar St.
Chamois 650242649
(38.66970765196214, -91.77277085056659)",
2090,Y,Avenue City R-IX  (002-090),Andrew ,H,   A,19341191.00,4.5409,8166622305,8166623201,1,22,159,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,159,0,159,Mr.,Davison ,Rodney ,,Mrs.,Pankau ,Janice ,S,Lawrence ,Don ,,Mr.,dlawrence@aces.k12.mo.us,http://www.avenuecityschool.org,009,"12 , 34 ",6,"18069 Highway 169
Cosby 644368115
(39.86427195583322, -94.75250000340725)",
99082,,Scotland Co. R-I  (099-082),Scotland ,I,   A,53035627.00,3.2984,6604658531,6604658636,1,33,285,0,285,0,0,0,0,0,0,0,0,0,0,1,30,270,10,280,2,63,555,10,565,Mr.,Koontz ,George ,,Mr.,Mckee ,Matt ,,Shalley ,David ,A,Mr.,DSHALLEY@SCOTLAND.K12.MO.US,http://scotland.k12.mo.us/,004,18 ,9,"438 West Lovers Lane
Memphis 635559410
(40.45987000030044, -92.16960999970155)",
56015,,Canton R-V  (056-015),Lewis ,I,   A,34348500.00,3.8407,5732885216,5732885442,1,28,290,0,290,0,0,0,0,0,0,0,0,0,0,1,25,249,0,249,2,53,539,0,539,Mrs.,Phillips ,Brenna ,,Mrs.,Priebe ,Ann ,,Anderson,Andy,A,Mr.,wanderson@canton.k12.mo.us,http://canton.k12.mo.us,004,18 ,9,"200 S Fourth St.
Canton 634351510
(40.12937989703457, -91.51859440805373)",
41004,,Gilman City R-IV  (041-004),Harrison ,H,   A,10157993.00,5.0961,6608765221,6608765553,1,14,86,0,86,0,0,0,0,0,0,0,0,0,0,1,12,47,2,49,2,26,133,2,135,Mr.,Payne ,Kirby ,,Mr.,Ragan ,Mike ,,Cross ,David ,,Mr.,dcross@gilman.k12.mo.us,http://www.gilman.k12.mo.us,"002, 007",12 ,6,"141 Lindsey Avenue
Gilman City 646429200
(40.13537531746797, -93.87236689274596)",
36134,Y,Spring Bluff R-XV  (036-134),Franklin ,G,   A,24282983.00,3.8166,5734578302,5734572070,1,21,240,1,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,240,1,241,Mr.,Schatz ,Mike ,,Mrs.,Peebles ,Diane ,,Bylo ,Kay ,D,Mrs.,kbylo@springbluffpirates.com,http://springbluffpirates.com,"061, 119",26 ,9,"9374 Highway 185
Sullivan 630803850
(38.28810653211842, -91.23395964571145)",
96119,,Specl. School District St. Louis Co.  (096-119),St. Louis ,A,   A,22062262719.00,0.9914,3149898100,3149898440,4,3433,1677,0,1677,0,0,0,0,0,0,0,0,0,0,6,531,2534,0,2534,10,3964,4211,0,4211,Dr.,Westbury ,James ,E,,Williams ,Zella ,,Cary ,John ,C,Mr.,JCARY@SSDMO.ORG,http://www.ssd.k12.mo.us/,,,2,"12110 Clayton Road
Town & Country 631312516
(38.63259263181294, -90.44065009466595)",
79078,Y,Altenburg 48  (079-078),Perry ,E,   A,15651250.00,3.6038,5738245857,5738245122,1,16,137,29,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,137,29,166,Mr.,Holt ,Joe ,,Mrs.,Palisch ,Linda ,,Deckerd ,Bleau ,B,Mr.,altenburg48@yahoo.com,http://altenburgpublic.com,"145, 146",27 ,8,"8432 Main St.
Altenburg 637320127
(37.628310633293495, -89.60107497378682)",P.O. Box 127
106008,Y,Mark Twain R-VIII  (106-008),Taney ,C,   A,6744048.00,4.0497,4177854323,4177859810,1,9,60,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,60,3,63,Mr.,Cowden ,Tony ,,Mr.,Clerke ,David ,,Yarger,Donald,N,Mr.,dyarger@marktwain.k12.mo.us,http://marktwain.k12.mo.us,155,"29 , 33 ",8,"37707 US Highway 160
Rueter 657443803
(36.59364162975338, -92.84797850753667)",
19140,Y,Strasburg C-3  (019-140),Cass ,B,   A,11394709.00,5.47,8166803333,8168653349,1,13,104,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,104,0,104,Mr.,Cantrell ,John ,,Ms.,Fields ,Julie ,,Arnone ,Larry ,,Mr.,larnone@strasburg.k12.mo.us,http://www.strasburg.k12.mo.us/,"033, 055",31 ,4,"600 W State Route E
Strasburg 640900244
(38.75989999968539, -94.1650799999419)",P.O. Box 244
88073,Y,Renick R-V  (088-073),Randolph ,I,   A,13260853.00,4.25,6602634886,6602634249,1,17,124,9,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,124,9,133,Mr.,Mckeown ,Mike ,,Mrs.,Mckeown ,Andrea ,,Lewis ,Tara ,N,Dr.,SUPERINTENDENT@RENICK.K12.MO.US,http://www.renick.k12.mo.us,"040, 043, 044, 047","10 , 18 , 19 , 21 ",9,"101 Middle St.
Renick 652780037
(39.417179999557504, -92.4644500003671)",P.O. Box 37
26002,,Blair Oaks R-II  (026-002),Cole ,D,   A,92284053.00,3.66,5736362020,5736362202,1,29,365,0,365,1,25,325,0,325,0,0,0,0,0,1,30,418,2,420,3,84,1108,2,1110,Mr.,Russell ,Greg ,D,Ms.,Prenger ,Sheila ,M,Jones ,James ,K,Dr.,jjones@blairoaks.k12.mo.us,http://www.blairoaks.k12.mo.us,"059, 061, 062",06 ,4,"6124 Falcon Lane
Jefferson City 651019751
(38.49264013761325, -92.17331988919648)",
49144,,Webb City R-VII  (049-144),Jasper ,C,   A,213992277.00,3.43,4176736000,4176736007,8,151,1852,0,1852,1,42,625,0,625,1,42,632,0,632,1,90,1173,0,1173,11,325,4282,0,4282,Mr.,Woodmansee ,Jason ,,Miss,Chaney ,Cheryl ,L,Rossetti ,Anthony ,S,Dr.,TROSSETTI@MAIL.WCCARDS.K12.MO.US,http://www.wccards.k12.mo.us,"127, 162, 163",32 ,7,"411 N Madison
Webb City 648701238
(37.14966868279992, -94.47434864890299)",
115911,,City Garden Montessori  (115-911),St. Louis City ,A,,,,3146647646,3146644997,1,12,134,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,134,0,134,Mr.,Sweeny ,Robert ,,Ms.,Oliver ,Jera ,,Huck ,Christina ,,Ms.,christie@citygardenschool.org,http://www.citygardenschool.org,,,3,"1618 Tower Grove Avenue
St. Louis 631103715
(38.62013702170714, -90.25565955323896)",
103132,,Dexter R-XI  (103-132),Stoddard ,E,   A,178969188.00,3.32,5736141000,5736141002,2,79,1007,0,1007,1,37,501,0,501,0,0,0,0,0,1,43,568,0,568,4,159,2076,0,2076,Mr.,Morse ,Herman ,,Ms.,Putnam ,Laura ,A,Sharp ,Thomas ,P,Dr.,TSHARP@DEXTER.K12.MO.US,http://dexter.k12.mo.us/,"151, 152, 153",25 ,8,"1031 Brown Pilot Lane
Dexter 638411803
(36.786976120163786, -89.97389397214745)",
100065,,Oran R-III  (100-065),Scott ,E,   A,20325690.00,3.5,5732622330,5732622330,1,18,189,0,189,0,0,0,0,0,0,0,0,0,0,1,19,178,0,178,2,37,367,0,367,Mrs.,Graviett ,Carla ,,Mrs.,Scherer ,Marlene ,V,Wood ,Mitchell ,D,Mr.,MWOOD@ORAN.K12.MO.US,http://oran.k12.mo.us,"146, 148, 151","25 , 27 ",8,"310 Church St.
Oran 637710250
(37.0895760936347, -89.6533418430803)",P.O. Box 250
82108,,Louisiana R-II  (082-108),Pike ,I,   A,49040500.00,3.8976,5737544261,5737544319,1,31,349,0,349,1,17,149,0,149,0,0,0,0,0,1,22,199,2,201,3,70,697,2,699,Mr.,Wallace ,Daryle ,,Mrs.,Pitzer ,Lisa ,,Basden ,Richard ,K,Mr.,BASDENR@LOUISIANA.K12.MO.US,http://schoolweb.missouri.edu/louisiana.k12.mo.us,040,18 ,9,"3321 W Georgia St.
Louisiana 633532751
(39.434741779119456, -91.06937601105827)",
46140,Y,Fairview R-XI  (046-140),Howell ,G,   A,42362310.00,3.45,4172561063,4172568831,1,45,523,0,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,523,0,523,Mr.,Martin ,Brian ,,Mr.,Mahan ,Scott ,,Williams ,Victor ,E,Mr.,WILLIAMS@FAIRVIEW.K12.MO.US,http://www.fairview.k12.mo.us,"154, 155",33 ,8,"4036 State Route K
West Plains 657756671
(36.71677587772874, -91.93223660632658)",
115912,,St. Louis Lang Immersion School  (115-912),St. Louis City ,A,,,,3145330975,3145330974,2,42,524,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42,524,0,524,Mr.,Schoemehl ,Vincent ,,Mrs.,Rucker ,Heather ,,Broussard,Rhonda,J,Ms.,RHONDA@SLLIS.ORG,http://www.sllis.org,,,3,"4011 Papin Street
St. Louis 631101731
(38.62921864551433, -90.24798605766483)",
48923,,Delasalle Charter School  (048-923),Jackson ,B,,,,8165614445,8165616106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,196,0,196,1,25,196,0,196,Mr.,Brandt ,Perry ,,Mr.,Reid ,Ryan ,,Williamson,Mark,,Mr.,LORIE@DELASALLECENTER.ORG,http://delasallecenter.org,,,,"3740 Forest Avenue
Kansas City 641092645
(39.05781007370655, -94.57087644642911)",
9078,,Leopold R-III  (009-078),Bollinger ,E,   A,8335995.00,2.95,5732382211,5732389868,1,16,102,0,102,0,0,0,0,0,0,0,0,0,0,1,13,82,3,85,2,29,184,3,187,Mr.,Brotherton ,Keith ,R,Mrs.,Bohnsack ,Patty ,A,Kinder,Keenan,D,Mr.,kkinder@LEOPOLD.K12.MO.US,http://www.leopold.k12.mo.us/,"145, 146",27 ,8,"100 Main St.
Leopold 637600039
(37.247669999870766, -89.92518999981849)",P.O. Box 39
103129,,Advance R-IV  (103-129),Stoddard ,E,   A,31687900.00,3.3661,5737223581,5737229886,1,27,240,0,240,0,0,0,0,0,0,0,0,0,0,1,20,198,0,198,2,47,438,0,438,Mr.,Miles ,Harold ,,Mrs.,Eggimann ,Linda ,,Seiler ,Stan ,J,Mr.,sseiler@advance.k12.mo.us,http://www.advance.k12.mo.us,"145, 146, 151","25 , 27 ",8,"201 E. School St.-Gym Entrance
Advance 637300370
(37.10857341067531, -89.90483614192925)",P.O. Box 370
1090,,Adair Co. R-I  (001-090),Adair ,I,   A,14729841.00,4.3104,6604886411,6604885400,1,18,126,0,126,0,0,0,0,0,0,0,0,0,0,1,17,129,0,129,2,35,255,0,255,Mr.,Wayman ,Rusty ,,Mrs.,Logston ,Angela ,E,Lake ,William ,,Mr.,BLAKE@NOVINGER.K12.MO.US,http://www.novinger.k12.mo.us/,"003, 004","12 , 18 ",9,"600 Rombauer Avenue
Novinger 635592477
(40.23388946430333, -92.70435156105754)",
48904,,Hogan Preparatory Academy  (048-904),Jackson ,B,     ,,,8164443464,8163630473,0,0,0,0,0,1,27,302,0,302,0,0,0,0,0,1,37,383,0,383,2,64,685,0,685,Ms.,Petri ,Alexis ,,Mr.,Mayer ,Stephen ,,Tipton ,Danny ,L,Dr.,DTIPTON@HOGANPREP.NET,http://hoganprep.net,,,5,"1221 E Meyer Boulevard
Kansas City 641311207
(39.01136908411354, -94.57223442269338)",
53113,,Lebanon R-III  (053-113),Laclede ,C,   A,287085368.00,3.22,4175329141,4175329492,4,196,2600,5,2605,0,0,0,0,0,1,58,663,0,663,1,122,1230,171,1401,6,376,4493,176,4669,Mr.,Hite ,Steve ,,Ms.,Ahmann ,Ranae ,,Widhalm ,Duane ,F,Dr.,dwidhalm@lebanon.k12.mo.us,http://www.lebanon.k12.mo.us/,"123, 129, 141","16 , 28 , 33 ",4,"1310 E Route 66
Lebanon 655363260
(37.68557249286623, -92.64119258683503)",
104045,,Blue Eye R-V  (104-045),Stone ,C,   A,99898680.00,4.0261,4177795332,4177792151,1,21,206,0,206,1,25,177,0,177,0,0,0,0,0,2,36,227,74,301,4,82,610,74,684,Mr.,Patton ,Steve ,,Mr.,Bohner ,Earnest ,,Ray ,Dan ,L,Mr.,dray@blueeye.k12.mo.us,http://www.blueeye.k12.mo.us,"138, 156, 158",29 ,7,"658 State Highway EE
Blue Eye 656110105
(36.503528666427826, -93.38506639147533)",P.O. Box 105
48914,,Academie Lafayette  (048-914),Jackson ,B,     ,,,8163617735,8163615788,1,62,716,0,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62,716,0,716,Mr.,Cozad ,Dave ,,Ms.,Mcclain ,Carlos ,,Roskam ,Eric ,,Mr.,JLANE@ACADEMIELAFAYETTE.ORG,http://www.academielafayette.org,,,5,"6903 Oak St.
Kansas City 641132530
(39.00237586382053, -94.58433929720775)",
66107,,Iberia R-V  (066-107),Miller ,D,   A,31617137.00,3.6509,5737936818,5737936821,1,35,405,0,405,0,0,0,0,0,0,0,0,0,0,1,30,334,0,334,2,65,739,0,739,Mr.,Ball ,Mike ,,Mrs.,Hendley ,Sheila ,S,Kimball ,Tamara ,,Dr.,tamarak@iberia.k12.mo.us,http://www.iberia.k12.mo.us,"062, 121, 123, 124","06 , 16 ",9,"201 Pemberton Drive
Iberia 654860156
(38.08773123096665, -92.30043746686526)",
67061,,Charleston R-I  (067-061),Mississippi ,E,   A,77289329.00,2.8257,5736833776,5736832909,1,54,558,0,558,1,25,210,0,210,0,0,0,0,0,1,33,274,0,274,3,112,1042,0,1042,Ms.,Sherry ,Austin ,J,Mrs.,Turley ,Karen ,B,Watkins ,Tony ,,Mr.,TWATKINS@CHARLESTON.K12.MO.US,http://charleston.k12.mo.us/,"148, 149","25 , 27 ",8,"1014 S Main
Charleston 638342236
(36.914498103636184, -89.34993631181003)",P.O. Box 39
46131,,Willow Springs R-IV  (046-131),Howell ,G,   A,67987030.00,2.75,4174693260,4174695127,1,50,559,0,559,1,43,421,0,421,0,0,0,0,0,1,39,346,22,368,3,132,1326,22,1348,Mr.,Rutledge ,Chris ,,Mrs.,Scarbrough ,Mandy ,R,Hutsell ,Derrick ,,Mr.,HUTSELLD@WSPGS.COM,http://www.willowspringsschool.com,"142, 154, 155",33 ,8,"215 W Fourth St.
Willow Springs 657931118
(36.994740519829584, -91.9697363153517)",
105123,,Green City R-I  (105-123),Sullivan ,I,   A,22640024.00,4.4712,6608744128,6608744515,1,20,169,0,169,0,0,0,0,0,0,0,0,0,0,1,17,134,0,134,2,37,303,0,303,Mr.,Hatcher ,Randy ,,Mrs.,Kilgore ,Tammy ,,Campbell ,Donnie ,,Mr.,dcampbell@greencity.k12.mo.us,http://www.greencity.k12.mo.us/index.html,"003, 006, 007","12 , 18 ",6,"301 N East St.
Green City 635459763
(40.270397773833416, -92.95126079723498)",
114112,,Norwood R-I  (114-112),Wright ,C,   A,17215796.00,2.9321,4177464101,4177469950,1,39,272,0,272,0,0,0,0,0,0,0,0,0,0,1,33,185,18,203,2,72,457,18,475,Mr.,Chadwell ,Doug ,,Mrs.,Connell ,Stephanie ,M,Eaton ,John ,E,Mr.,jeaton@norwood.k12.mo.us,http://www.norwood.k12.mo.us/,"141, 155",33 ,8,"675 N Hawk Avenue
Norwood 657179635
(37.11358970002057, -92.41791774569624)",
115901,,Construction Careers Center  (115-901),St. Louis City ,A,     ,0.00,0,3146441525,3146441536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,268,0,268,1,23,268,0,268,Mr.,Hamilton ,Zachary ,,Mr.,Pohl ,Don ,,Eivins ,Terry ,G,Mr.,teivins@stl-cts.org,http://www.constructioncareerscenter.org,,,3,"6301 Knox Industrial Drive
St. Louis 631393025
(38.62005608272449, -90.2935120174522)",
7123,,Adrian R-III  (007-123),Bates ,F,   A,36686539.00,4.39,8162972710,8162972980,1,32,343,0,343,0,0,0,0,0,0,0,0,0,0,1,38,401,0,401,2,70,744,0,744,Mr.,Knuth ,Dave ,,Mr.,Tenholder ,Jim ,,Eidson ,Kirk ,B,Dr.,KIRK.EIDSON@ADRIAN.K12.MO.US,http://www.adrian.k12.mo.us,"056, 057, 126",31 ,4,"601 N Houston
Adrian 647200098
(38.39833000012959, -94.35068000008181)",P.O. Box 98
104044,,Reeds Spring R-IV  (104-044),Stone ,C,   A,336099464.00,3.75,4172728173,4172728656,3,100,1158,0,1158,1,32,290,1,291,0,0,0,0,0,2,63,627,1,628,6,195,2075,2,2077,Mr.,Johnson ,Earl ,,Mrs.,Meats ,Rachelle ,R,Mason ,Michael ,S,Mr.,MMASON@WOLVES.K12.MO.US,http://www.rs-wolves.com,"138, 156, 158",29 ,7,"20281 State Highway 413
Reeds Spring 657377181
(36.72231340937205, -93.38141417002691)",
111087,,Clearwater R-I  (111-087),Wayne ,E,   A,62816395.00,3.1,5732237426,5732232932,1,41,417,0,417,1,35,315,0,315,0,0,0,0,0,1,28,306,0,306,3,104,1038,0,1038,Mr.,Gayle ,Robert ,,Mrs.,Randolph ,Lori ,M,Keel ,Blane ,L,Mr.,bkeel@clearwater.k12.mo.us,,"144, 145, 153","03 , 25 , 27 ",8,"Route 4 Box 1004
Piedmont 639579700
(37.15653999992122, -90.69409000025314)",
107151,Y,Success R-VI  (107-151),Texas ,G,   A,7745241.00,2.75,4179672597,4179675774,1,17,88,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,88,0,88,Mr.,Huff ,Carl ,,Mrs.,Davis ,Nancy ,,Copley ,Justin ,,Mr.,JCOPLEY@SUCCESS.K12.MO.US,http://www.successr6.org,142,33 ,8,"10341 Highway 17
Success 655709605
(37.428217781112046, -92.08395379776901)",
