id,title,location,sub_category,avatar,description,details,provider,distance,ages,price,campus,camp_type,topics,category,relevance,affordability
208,Robotics Tech Club,Multiple Locations,Virtual Camp Fair Engineering Robotics Science & Technology,https://images.activityhero.com/provider_photo/132741/tile/c806a45a-52b3-4402-a6d3-d8893f026112.jpg,"Robotics Tech Club offers after school year-round Robotics and Technology classes for kids grades K-8. We Build Robots. We offer classes  in Dash and Dot,…read more >",https://www.activityhero.com/biz/robotics-tech-club,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",26.9,"5, 33",21,m,STEM,"[['kid', 47.29], ['tech', 9.36], ['technology', 8.87], ['teen', 8.37], ['parent', 8.37], ['robotic', 6.4], ['call', 3.45], ['business', 2.96], ['matter', 2.46], ['unique', 2.46]]",Math & Logic,70.01,44.6
209,BrasArte,"Casa de Cultura - Berkeley, CA",Free Activities Dance Performing Arts,https://images.activityhero.com/provider_photo/103337/tile/b5cf752b-59bf-4744-b74e-2e300ea44a21.jpg,BrasArte is one of the few arts and cultural organizations in the Bay Area with a focus specifically on preserving the traditional dances and music of…read more >,https://www.activityhero.com/biz/13353-brasarte-berkeley-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",27.6,"5, 33",25,f,Arts,"[['dance', 36.9], ['training', 12.83], ['ballet', 9.63], ['open', 8.56], ['space', 8.02], ['meet', 5.88], ['natural', 5.35], ['toddler', 4.81], ['joy', 4.81], ['west', 3.21]]",Arts and Design,77.55,99.26
210,Coach Max Camps and Alameda Vipers,Multiple Locations,Basketball Drop-off,https://images.activityhero.com/provider_photo/132372/tile/94e6c04f-cf93-461f-993e-8fb7c50be054.jpg,"The Alameda Vipers Basketball Club is based in the City of Alameda in Alameda County, CA and offers basketball camps for children during the school…read more >",https://www.activityhero.com/biz/alameda-vipers-63905,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",8,",34",17,f,Sports,"[['club', 24.2], ['soccer', 17.83], ['team', 14.65], ['year_round', 10.19], ['basketball', 7.01], ['ca', 6.37], ['dedicate', 5.73], ['north', 5.1], ['clinic', 5.1], ['swim', 3.82]]",Personal Development,97.41,99.77
211,Brushstrokes Studio,Multiple Locations,Best of ActivityHero 2015 Best of ActivityHero 2016 Best of ActivityHero 2017 Clay Pottery Drawing and Painting,https://images.activityhero.com/provider_photo/98411/tile/6d97dd88-c058-465d-9f51-32b367b4d533.jpg,"What will your child make? This summer, we'll be painting pottery, sculpting with wet clay, fusing glass, making mosaics, and doing tons of drawing and…read more >",https://www.activityhero.com/biz/4415-brushstrokes-studio-berkeley-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",13.9,"5,34",129,m,Arts,"[['art', 53.8], ['studio', 14.85], ['creative', 9.24], ['artist', 7.92], ['paint', 3.3], ['draw', 2.97], ['learner', 2.64], ['fine', 2.31], ['wellness', 1.65], ['technical', 1.32]]",Arts and Design,68.28,81.47
212,SUGAR N SPICE,"Main Location - Daly City, CA",Ceramics Cooking Visual Arts,https://images.activityhero.com/provider_photo/100629/tile/72cd04f5-c99e-496f-aab0-e8edc17d9314.jpg,Kidz Culinary has been a part of Sugar N Spice since 2000.  We were the Pioneer in the SF Bay Area to launch a Children's Culinary Baking Program.  We…read more >,https://www.activityhero.com/biz/sugar-n-spice,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",24.9,"5, 33",2008,m,Sports,"[['adult', 27.78], ['family', 26.11], ['martial_art', 15.0], ['large', 6.67], ['self_defense', 5.56], ['part', 5.56], ['passion', 3.33], ['baby', 3.33], ['core', 3.33], ['mountain', 3.33]]",Personal Development,37.57,68.04
213,Performance Tennis w/ Dan Hiddleson,Multiple Locations,Sports Tennis Play/Outdoor,https://images.activityhero.com/provider_photo/110037/tile/40c649c8-0869-4608-b1d3-4648006a78d5.jpeg,"Former top-ranked Northern California junior, Cal-Berkeley PAC-10 scholarship tennis player, ATP touring pro & and current 5.5 tennis player & USPTA…read more >",https://www.activityhero.com/biz/performance-tennis-w-dan-hiddleson,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",25.6,",34",34,m,Sports,"[['play', 28.39], ['tennis', 14.19], ['player', 12.26], ['place', 12.26], ['group', 8.39], ['top', 7.1], ['berkeley', 6.45], ['bring', 4.52], ['st', 3.23], ['visit', 3.23]]",Personal Development,97.22,64.76
214,Bright Side Camp,Multiple Locations,Field Trips Play/Outdoor Water Sports,https://images.activityhero.com/provider_photo/111876/tile/dfcbd5a5-4ad0-4dab-a569-77969332975d.jpg,Bright Side Camp came to play this summer! We are a summer day camp located in the East Bay and we are excited to begin our SUMMER ADVENTURE together! Our…read more >,https://www.activityhero.com/biz/bright-side-camp,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",26,"12,35",21,m,Sports,"[['summer', 43.31], ['camp', 37.58], ['break', 4.78], ['baseball', 4.14], ['spring', 3.18], ['california', 2.23], ['holiday', 1.27], ['enrich', 1.27], ['winter', 1.27], ['custom', 0.96]]",Personal Development,65.01,96.04
215,Triple Threat Academy,Multiple Locations,Basketball Sports Soccer,https://images.activityhero.com/provider_photo/3531/tile/Triple_threat_2.jpg,Triple Threat Academy is a year round basketball skill development program. Our focus is building the fundamentals necessary to succeed at whatever level…read more >,https://www.activityhero.com/biz/triple-threat-academy,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",28.2,"5,34",25,"m,f",Sports,"[['club', 24.2], ['soccer', 17.83], ['team', 14.65], ['year_round', 10.19], ['basketball', 7.01], ['ca', 6.37], ['dedicate', 5.73], ['north', 5.1], ['clinic', 5.1], ['swim', 3.82]]",Personal Development,33.73,39.9
216,Kids Gym Berkeley,"Main Location - Berkeley, CA",General Recreation Crafts Science,https://images.activityhero.com/provider_photo/112249/tile/5f4f9e03-23c7-4b78-a1ae-1b9021e0cc17.jpg,"We provide a super fun, safe, therapeutic and educational place for all kids.  A full inclusion multi sensory activity center.
At Kids Gym Berkeley, we…read more >",https://www.activityhero.com/biz/we-rock-the-spectrum-berkeley,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",32.1,"5,41",17,m,Sports,"[['provide', 45.0], ['opportunity', 15.5], ['full', 9.0], ['studio', 8.0], ['service', 6.5], ['enjoy', 5.5], ['group', 4.0], ['karate', 3.5], ['game', 1.5], ['court', 1.5]]",Personal Development,82.43,19.73
217,La Peña Cultural Center,"Main Location - Berkeley, CA",Spanish Dance Music,https://images.activityhero.com/provider_photo/101542/tile/5e145d1e-0eef-4feb-ab24-3293cb2a797a.jpg,"La Peña Cultural Center offers a place of solidarity, community, and intercultural understanding by presenting weekly cultural events and classes, rooted in…read more >",https://www.activityhero.com/biz/la-pena-cultural-center,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",48.4,"5,33",129,f,STEM,"[['create', 30.54], ['online', 19.76], ['world', 13.77], ['live', 9.58], ['weekly', 5.39], ['maker', 4.79], ['leader', 4.79], ['curiosity', 4.19], ['free', 3.59], ['culture', 3.59]]",Computer Science,96.23,73.77
218,SF State Community Youth Sailing and Paddling Program,"Lake Merced, San Francisco, CA - San Francisco, CA",Adventure/Outdoors Play/Outdoor Kayaking,https://images.activityhero.com/provider_photo/70925/tile/6ca369b8-958d-4664-8dd8-f46fd8ebe10a.jpg,"The SF State Summer Youth Sailing and Paddling Program is a sailing, kayaking and standup paddle boarding safety, science and environmental education…read more >",https://www.activityhero.com/biz/2849-sf-state-community-youth-sailing-and-paddling-program-san-francisco-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",63.3,"5,33",4008,"m,f",STEM,"[['kid', 64.4], ['california', 7.85], ['offer', 7.85], ['state', 4.19], ['bay', 3.66], ['paddle', 3.14], ['learn', 2.62], ['clay', 2.09], ['stage', 2.09], ['trip', 2.09]]",Computer Science,53.91,45.96
219,Studio 505 Dance and Movement Arts,"Main Location - San Francisco, CA",Ballet Hip Hop Dance,https://images.activityhero.com/provider_photo/119131/tile/542778d6-d76b-4612-840b-6b506d71beb1.jpeg,"Studio 505 offers quality dance, fitness, and martial arts instruction in a supportive, inclusive environment.  No matter which class you choose, you'll…read more >",https://www.activityhero.com/biz/studio-505-dance-and-movement-arts,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",67.3,"5,33",6008,"m,f",Arts,"[['dance', 36.9], ['training', 12.83], ['ballet', 9.63], ['open', 8.56], ['space', 8.02], ['meet', 5.88], ['natural', 5.35], ['toddler', 4.81], ['joy', 4.81], ['west', 3.21]]",Arts and Design,97.63,96.47
220,Aloha Mind Math of Walnut Creek and Oakland,Multiple Locations,Online Course Academics Math,https://images.activityhero.com/provider_photo/101204/tile/1f66a9af-a3a4-4177-9072-fc419d181a4f.jpeg,"At ALOHA, we are passionate about visual math and inspiring kids  to develop confidence and agility in math.Did you know math is rooted in our visual neural…read more >",https://www.activityhero.com/biz/66858-aloha-mind-math-walnut-creek-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",63.3,"5,33",150,"m,f",STEM,"[['enrichment', 27.84], ['math', 27.84], ['explore', 17.05], ['discover', 6.82], ['summer', 4.55], ['resource', 3.98], ['present', 3.41], ['visual', 2.84], ['choose', 2.84], ['water', 2.84]]",Computer Science,58.57,12.83
221,Kids 'N' Clay Pottery Studio,"Main Location - Berkeley, CA",Birthday Parties Visual Arts Ceramics,https://images.activityhero.com/provider_photo/130602/tile/ad411a67-c53d-47a5-b55b-308612347687.jpg,"Kids N' Clay is a children's ceramic studio based in Berkeley, California, offering nationally recognized wet clay programs for kids ages 3 – 18. Our…read more >",https://www.activityhero.com/biz/8804-kids-n-clay-pottery-studio-berkeley-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",75,"5, 34",10,"m,f",STEM,"[['kid', 64.4], ['california', 7.85], ['offer', 7.85], ['state', 4.19], ['bay', 3.66], ['paddle', 3.14], ['learn', 2.62], ['clay', 2.09], ['stage', 2.09], ['trip', 2.09]]",Computer Science,68.75,58.6
222,Little Theater Company,Multiple Locations,Drawing and Painting Drama/Theater Performing Arts,https://images.activityhero.com/provider_photo/107031/tile/94362403-44bf-48c6-b3fc-72434548745a.JPG,Introducing the very first theater company for kids by kids! At The Little Theater Company we believe in bringing the joy of theater to kids of ages 5-11 in…read more >,https://www.activityhero.com/biz/little-theater-company,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",93.1,"5, 34",110,"m,f",STEM,"[['year', 36.17], ['teaching', 13.48], ['inspire', 9.93], ['teen', 8.51], ['theater', 7.09], ['kind', 6.38], ['positive', 4.96], ['method', 4.96], ['mindfulness', 4.26], ['broadway', 4.26]]",Math & Logic,70.58,91.02
223,Little Medical School - California,Multiple Locations,Academics Science Online Course,https://images.activityhero.com/provider_photo/109979/tile/33458cc0-6abd-40d8-a98c-7f491edd1253.png,IGNITE YOUR CHILD'S PASSION TODAY!Little Medical School is an academic enrichment program that helps students from K-5th grade explore the world of…read more >,https://www.activityhero.com/biz/67376-little-medical-school-los-altos-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",9,",35",55,"m,f",STEM,"[['enrichment', 27.84], ['math', 27.84], ['explore', 17.05], ['discover', 6.82], ['summer', 4.55], ['resource', 3.98], ['present', 3.41], ['visual', 2.84], ['choose', 2.84], ['water', 2.84]]",Math & Logic,97.8,58.63
224,Downtown Oakland YMCA,"Main Location - Oakland, CA",Computers Adventure/Outdoors Crafts,https://images.activityhero.com/provider_photo/104604/tile/514e4abf-7aa2-411f-930e-6cdf17536862.JPG,"The Downtown Oakland YMCA is a full-service fitness facility and pool. Our state-of-the-art equipment, movement studios and aquatics center are matched by a…read more >",https://www.activityhero.com/biz/downtown-oakland-ymca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",14.9,"5,35",120,"m,f",Sports,"[['provide', 45.0], ['opportunity', 15.5], ['full', 9.0], ['studio', 8.0], ['service', 6.5], ['enjoy', 5.5], ['group', 4.0], ['karate', 3.5], ['game', 1.5], ['court', 1.5]]",Personal Development,69.27,39.69
225,Oakland Glee Summer Camp,"Oakland Glee Program Business Address - Oakland, CA",Performing Arts,https://images.activityhero.com/provider_photo/4757/tile/glee_rose_garden.JPG,Oakland Glee Camp is a youth performance arts camp specifically designed for ages 9-14. Our camp mission is to inspire young performers and enrich their…read more >,https://www.activityhero.com/biz/17203-oakland-glee-summer-camp-oakland-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",25.9,"5, 34",330,m,STEM,"[['age', 46.46], ['offer', 18.69], ['level', 15.66], ['beginner', 4.55], ['inspire', 4.04], ['foundation', 2.53], ['garden', 2.02], ['daily', 2.02], ['elite', 2.02], ['gain', 2.02]]",Math & Logic,89.48,17.83
226,ABSC - Albany Berkeley Soccer Club,Multiple Locations,Soccer,https://images.activityhero.com/provider_photo/95858/tile/e8a539bb-0ed6-4515-b0ee-050b69335009.jpg,The Albany-Berkeley Soccer Club (ABSC) is a year-round soccer club with over 2000 players.  We are a non-profit organization dedicated to providing…read more >,https://www.activityhero.com/biz/absc-albany-berkeley-soccer-club,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",26.6,",35",550,m,Sports,"[['club', 24.2], ['soccer', 17.83], ['team', 14.65], ['year_round', 10.19], ['basketball', 7.01], ['ca', 6.37], ['dedicate', 5.73], ['north', 5.1], ['clinic', 5.1], ['swim', 3.82]]",Personal Development,42.24,67.52
227,Cooking Round The World,Multiple Locations,International Studies Cooking,https://images.activityhero.com/provider_photo/102238/tile/fe24008e-1387-407e-99bb-dac95b7b3ca2.JPG,Cooking Round the World is the juncture where cultural exploration meets culinary arts! We invite children from ages 6-13 to be a part of our exciting…read more >,https://www.activityhero.com/biz/cooking-round-the-world,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",27,"12,36",3009,f,Sports,"[['activity', 20.12], ['include', 15.98], ['fitness', 15.98], ['performing_arts', 9.47], ['week', 8.88], ['field', 8.88], ['park', 8.88], ['exciting', 4.73], ['cultural', 4.14], ['theme', 2.96]]",Personal Development,60.6,45.57
228,Blaster Camp,Multiple Locations,Fitness Sports,https://images.activityhero.com/provider_photo/109364/tile/5ea3e86d-cd38-424f-a811-ac492100ee21.jpeg,"BLASTER CAMP IS SAFE, FUN & EXCITING NERF BLASTER GAMES & BATTLES THAT HELP YOUR CHILD DEVELOP SPEED, QUICKNESS, ENDURANCE, AND AGILITY.  The perfect way…read more >",https://www.activityhero.com/biz/66456-marin-blaster-camp-sausalito-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",29.2,"5,35",200,f,STEM,"[['year', 36.17], ['teaching', 13.48], ['inspire', 9.93], ['teen', 8.51], ['theater', 7.09], ['kind', 6.38], ['positive', 4.96], ['method', 4.96], ['mindfulness', 4.26], ['broadway', 4.26]]",Computer Science,48.81,6.4
229,Aspiring Entrepreneurs' Engineering Institute,Multiple Locations,Finance Business Leadership,https://images.activityhero.com/provider_photo/96856/tile/26a0fc10-fe23-4f2a-bed2-8a94692921b4.JPG,"Founded in Silicon Valley, the Aspiring Entrepreneurs’ Engineering Institute was created for the youth ages 12-17 to instill an entrepreneurial mindset…read more >",https://www.activityhero.com/biz/aspiring-engineers-entrepreneurship-program,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",33.1,"5,42",35,m,STEM,"[['create', 30.54], ['online', 19.76], ['world', 13.77], ['live', 9.58], ['weekly', 5.39], ['maker', 4.79], ['leader', 4.79], ['curiosity', 4.19], ['free', 3.59], ['culture', 3.59]]",Math & Logic,40.03,39.78
230,Encore Lacrosse,Multiple Locations,Lacrosse Sports,https://images.activityhero.com/provider_photo/447/tile/open-uri20130516-2-woko82,Currently we offer Team Competition Events. Reach out and let us know if you are interested in learning more.Encore Brand Lacrosse provides the…read more >,https://www.activityhero.com/biz/encore-lacrosse,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",49.4,"5,34",22,m,Sports,"[['club', 24.2], ['soccer', 17.83], ['team', 14.65], ['year_round', 10.19], ['basketball', 7.01], ['ca', 6.37], ['dedicate', 5.73], ['north', 5.1], ['clinic', 5.1], ['swim', 3.82]]",Personal Development,95.43,75.49
231,Emeryville Martial Arts,Multiple Locations,Martial Arts Online Course Sports,https://images.activityhero.com/provider_photo/116178/tile/5b1335e4-cc56-4c6d-baa8-2963e8cb9471.jpg,"Camp will include karate, judo and aikido techniques as well as yoga, aerobic fitness and self defense. Swim and enjoy a field trip each week, related…read more >",https://www.activityhero.com/biz/emeryville-martial-arts,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",64.3,"5,34",26,m,Sports,"[['activity', 20.12], ['include', 15.98], ['fitness', 15.98], ['performing_arts', 9.47], ['week', 8.88], ['field', 8.88], ['park', 8.88], ['exciting', 4.73], ['cultural', 4.14], ['theme', 2.96]]",Personal Development,96.26,43.04
232,Honey Art Studio,Multiple Locations,Crafts Drawing and Painting Visual Arts,https://images.activityhero.com/provider_photo/112978/tile/2efcdbae-d708-434f-ba9c-322162a7f535.JPG,"Honey Art Studio is an art company that features exciting, vivid and creative art activities including: painting, drawing, re-purposed art and fashion,…read more >",https://www.activityhero.com/biz/honey-art-studio,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",68.3,"5,34",18,m,Arts,"[['art', 53.8], ['studio', 14.85], ['creative', 9.24], ['artist', 7.92], ['paint', 3.3], ['draw', 2.97], ['learner', 2.64], ['fine', 2.31], ['wellness', 1.65], ['technical', 1.32]]",Arts and Design,86.23,9.72
233,Shredders Skate Camp,Multiple Locations,Skateboarding Adventure/Outdoors After School Care,https://images.activityhero.com/provider_photo/75797/tile/2440860c-0eb0-4815-ae0f-04b4bea6830b.jpg,About Chris von Blohn:Our goal at Shredders is to show and teach Campers how to enjoy skateboarding the way we enjoy it ourselves. I appreciate the…read more >,https://www.activityhero.com/biz/56841-shredders-skate-camp-mill-valley-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",76,"5,34",130,"m,f",Sports,"[['provide', 45.0], ['opportunity', 15.5], ['full', 9.0], ['studio', 8.0], ['service', 6.5], ['enjoy', 5.5], ['group', 4.0], ['karate', 3.5], ['game', 1.5], ['court', 1.5]]",Personal Development,70.42,29.37
234,Camp Perigee,Multiple Locations,Science & Technology Play/Outdoor Lego,https://images.activityhero.com/provider_photo/102755/tile/08688507-f9c7-4fd8-85f5-0ea961bcc3b8.jpeg,"Play + build + create + move + inquire... dream!At The Perigee we provide children the space to grow their creativity, critical thinking skills, and…read more >",https://www.activityhero.com/biz/the-perigee-collective,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",76,"5, 35",2009,m,Sports,"[['skill', 32.8], ['develop', 18.52], ['creativity', 14.81], ['social', 7.94], ['chess', 7.94], ['approach', 4.76], ['thinking', 3.7], ['global', 3.7], ['problem', 3.17], ['passion', 2.65]]",Personal Development,95.62,38.72
235,uCamps,Multiple Locations,Best of ActivityHero 2015 Best of ActivityHero 2016 Overnight/Travel Music Performing Arts,https://images.activityhero.com/provider_photo/6905/tile/1_Closing_Ceremony.jpg,"The uCamps mission is to bring happiness to campers, grades 2-12, by providing fun, educational, arts, leadership and outdoor enrichment programs. Our…read more >",https://www.activityhero.com/biz/ucamps,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",94.1,"5, 35",35,f,Sports,"[['love', 22.54], ['adventure', 19.01], ['camper', 11.97], ['outdoor', 10.56], ['dedicate', 8.45], ['american', 7.75], ['area', 7.04], ['mobile', 4.93], ['learn', 4.23], ['animal', 3.52]]",Personal Development,58.99,92.92
236,Peek-a-Boo Factory,"Daly City - Daly City, CA",Visual Arts Music Crafts,https://images.activityhero.com/provider_photo/95316/tile/6bca6c6e-5686-444f-9062-27c6986f3b12.jpg,"Peek-a-Boo Factory is a premier indoor playground and party place designed for parents to allow their children to socialize, learn and play by creating an…read more >",https://www.activityhero.com/biz/20346-peek-a-boo-factory-san-francisco-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",10,",36",22,"m,f",Arts,"[['program', 29.17], ['focus', 14.88], ['creative', 9.52], ['workshop', 9.52], ['home', 7.14], ['nurture', 7.14], ['people', 6.55], ['session', 5.36], ['children', 5.36], ['lego', 5.36]]",Arts and Design,58.22,88.13
